begdate,enddate,pressconf,scheduled,document,url
5/7/1957,5/7/1957,0,1,Record of Policy Actions (274 KB PDF),/monetarypolicy/files/fomcropa19570507.pdf
5/28/1957,5/28/1957,0,1,Record of Policy Actions (178 KB PDF),/monetarypolicy/files/fomcropa19570528.pdf
6/18/1957,6/18/1957,0,1,Record of Policy Actions (178 KB PDF),/monetarypolicy/files/fomcropa19570618.pdf
7/9/1957,7/9/1957,0,1,Record of Policy Actions (280 KB PDF),/monetarypolicy/files/fomcropa19570709.pdf
7/30/1957,7/30/1957,0,1,Record of Policy Actions (188 KB PDF),/monetarypolicy/files/fomcropa19570730.pdf
8/20/1957,8/20/1957,0,1,Record of Policy Actions (176 KB PDF),/monetarypolicy/files/fomcropa19570820.pdf
9/10/1957,9/10/1957,0,1,Record of Policy Actions (176 KB PDF),/monetarypolicy/files/fomcropa19570910.pdf
10/1/1957,10/1/1957,0,1,Record of Policy Actions (277 KB PDF),/monetarypolicy/files/fomcropa19571001.pdf
10/22/1957,10/22/1957,0,1,Record of Policy Actions (290 KB PDF),/monetarypolicy/files/fomcropa19571022.pdf
11/12/1957,11/12/1957,0,1,Record of Policy Actions (295 KB PDF),/monetarypolicy/files/fomcropa19571112.pdf
12/3/1957,12/3/1957,0,1,Record of Policy Actions (292 KB PDF),/monetarypolicy/files/fomcropa19571203.pdf
12/17/1957,12/17/1957,0,1,Record of Policy Actions (282 KB PDF),/monetarypolicy/files/fomcropa19571217.pdf
1/7/1958,1/7/1958,0,1,Record of Policy Actions (284 KB PDF),/monetarypolicy/files/fomcropa19580107.pdf
1/28/1958,1/28/1958,0,1,Record of Policy Actions (187 KB PDF),/monetarypolicy/files/fomcropa19580128.pdf
2/11/1958,2/11/1958,0,1,Record of Policy Actions (190 KB PDF),/monetarypolicy/files/fomcropa19580211.pdf
3/4/1958,3/4/1958,0,1,Record of Policy Actions (385 KB PDF),/monetarypolicy/files/fomcropa19580304.pdf
3/25/1958,3/25/1958,0,1,Record of Policy Actions (294 KB PDF),/monetarypolicy/files/fomcropa19580325.pdf
4/15/1958,4/15/1958,0,1,Record of Policy Actions (293 KB PDF),/monetarypolicy/files/fomcropa19580415.pdf
